id,left,top,right,bottom,row_index,col_index,x,y
895,77.2738675,23.2813564,77.2743675,23.2808564,34,9,77.2741175,23.2811064
913,77.2743675,23.2923564,77.2748675,23.2918564,12,10,77.2746175,23.2921064
914,77.2743675,23.2918564,77.2748675,23.2913564,13,10,77.2746175,23.2916064
915,77.2743675,23.2913564,77.2748675,23.2908564,14,10,77.2746175,23.2911064
917,77.2743675,23.2903564,77.2748675,23.2898564,16,10,77.2746175,23.2901064
920,77.2743675,23.2888564,77.2748675,23.2883564,19,10,77.2746175,23.2886064
926,77.2743675,23.2858564,77.2748675,23.2853564,25,10,77.2746175,23.2856064
927,77.2743675,23.2853564,77.2748675,23.2848564,26,10,77.2746175,23.2851064
928,77.2743675,23.2848564,77.2748675,23.2843564,27,10,77.2746175,23.2846064
930,77.2743675,23.2838564,77.2748675,23.2833564,29,10,77.2746175,23.2836064
931,77.2743675,23.2833564,77.2748675,23.2828564,30,10,77.2746175,23.2831064
932,77.2743675,23.2828564,77.2748675,23.2823564,31,10,77.2746175,23.2826064
933,77.2743675,23.2823564,77.2748675,23.2818564,32,10,77.2746175,23.2821064
934,77.2743675,23.2818564,77.2748675,23.2813564,33,10,77.2746175,23.2816064
935,77.2743675,23.2813564,77.2748675,23.2808564,34,10,77.2746175,23.2811064
936,77.2743675,23.2808564,77.2748675,23.2803564,35,10,77.2746175,23.2806064
953,77.2748675,23.2923564,77.2753675,23.2918564,12,11,77.2751175,23.2921064
954,77.2748675,23.2918564,77.2753675,23.2913564,13,11,77.2751175,23.2916064
955,77.2748675,23.2913564,77.2753675,23.2908564,14,11,77.2751175,23.2911064
956,77.2748675,23.2908564,77.2753675,23.2903564,15,11,77.2751175,23.2906064
957,77.2748675,23.2903564,77.2753675,23.2898564,16,11,77.2751175,23.2901064
958,77.2748675,23.2898564,77.2753675,23.2893564,17,11,77.2751175,23.2896064
959,77.2748675,23.2893564,77.2753675,23.2888564,18,11,77.2751175,23.2891064
960,77.2748675,23.2888564,77.2753675,23.2883564,19,11,77.2751175,23.2886064
961,77.2748675,23.2883564,77.2753675,23.2878564,20,11,77.2751175,23.2881064
962,77.2748675,23.2878564,77.2753675,23.2873564,21,11,77.2751175,23.2876064
963,77.2748675,23.2873564,77.2753675,23.2868564,22,11,77.2751175,23.2871064
966,77.2748675,23.2858564,77.2753675,23.2853564,25,11,77.2751175,23.2856064
967,77.2748675,23.2853564,77.2753675,23.2848564,26,11,77.2751175,23.2851064
968,77.2748675,23.2848564,77.2753675,23.2843564,27,11,77.2751175,23.2846064
969,77.2748675,23.2843564,77.2753675,23.2838564,28,11,77.2751175,23.2841064
974,77.2748675,23.2818564,77.2753675,23.2813564,33,11,77.2751175,23.2816064
975,77.2748675,23.2813564,77.2753675,23.2808564,34,11,77.2751175,23.2811064
976,77.2748675,23.2808564,77.2753675,23.2803564,35,11,77.2751175,23.2806064
977,77.2748675,23.2803564,77.2753675,23.2798564,36,11,77.2751175,23.2801064
978,77.2748675,23.2798564,77.2753675,23.2793564,37,11,77.2751175,23.2796064
996,77.2753675,23.2908564,77.2758675,23.2903564,15,12,77.2756175,23.2906064
997,77.2753675,23.2903564,77.2758675,23.2898564,16,12,77.2756175,23.2901064
998,77.2753675,23.2898564,77.2758675,23.2893564,17,12,77.2756175,23.2896064
1007,77.2753675,23.2853564,77.2758675,23.2848564,26,12,77.2756175,23.2851064
1008,77.2753675,23.2848564,77.2758675,23.2843564,27,12,77.2756175,23.2846064
