origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
168,93,54.2759901,480.4768911,3.7958535,538.5487347
168,90,54.2759901,278.0390268,15.4679509,347.7829678
168,89,54.2759901,330.4509553,3.3902011,388.1171466
168,88,54.2759901,384.2320601,8.0691752,446.5772254
168,55,54.2759901,598.5975854,0.9714471,653.8450226
168,54,54.2759901,525.7218499,31.4846405,611.4824805
168,53,54.2759901,520.2982091,31.5834273,606.1576265
168,52,54.2759901,377.3227222,28.0319924,459.6307048
168,51,54.2759901,331.6281070,2.7479753,388.6520724
168,50,54.2759901,301.3293075,46.8920610,402.4973585
168,14,54.2759901,518.6583862,0.2952324,573.2296087
168,13,54.2759901,462.5328245,5.2894078,522.0982224
168,12,54.2759901,407.7209588,2.1915810,464.1885299
168,8,54.2759901,283.7617154,33.3777019,371.4154074
168,7,54.2759901,372.8944856,33.3299605,460.5004362
168,6,54.2759901,519.1518249,43.6741535,617.1019684
168,5,54.2759901,697.4673948,38.1097472,789.8531321
168,3,54.2759901,575.6119035,35.1058881,664.9937817
168,2,54.2759901,437.7377048,47.5489897,539.5626845
168,1,54.2759901,500.6392547,26.8255576,581.7408024
168,456,54.2759901,644.9970093,19.5910642,718.8640636
168,455,54.2759901,595.5409219,5.2117528,655.0286649
168,454,54.2759901,541.6840682,6.2914062,602.2514644
168,453,54.2759901,474.8854834,0.8328131,529.9942866
168,415,54.2759901,609.2648975,44.5915190,708.1324066
168,414,54.2759901,552.3492527,56.6395970,663.2648398
168,413,54.2759901,437.4542021,26.6065063,518.3366986
168,372,54.2759901,379.4514220,35.7095011,469.4369131
168,371,54.2759901,298.3897454,3.0290891,355.6948246
168,337,54.2759901,563.3745982,7.5323370,625.1829253
168,332,54.2759901,271.6279480,69.0176933,394.9216315
168,331,54.2759901,247.8375911,16.1959945,318.3095757
168,298,54.2759901,628.3466428,17.7527014,700.3753344
168,297,54.2759901,521.3631731,24.3297058,599.9688690
168,294,54.2759901,358.5565175,0.2574061,413.0899137
168,293,54.2759901,304.1045483,8.9756786,367.3562170
168,292,54.2759901,250.1056508,18.7050913,323.0867322
168,291,54.2759901,197.5475371,28.1502855,279.9738128
168,290,54.2759901,186.6692216,25.7882717,266.7334835
168,254,54.2759901,427.8772029,25.1120495,507.2652425
168,252,54.2759901,238.3555861,33.0618292,325.6934054
168,251,54.2759901,231.9118531,21.8084457,307.9962889
168,249,54.2759901,81.9650393,16.4118105,152.6528399
168,248,,,,
168,218,54.2759901,754.3880708,0.2919914,808.9560523
168,169,54.2759901,291.1384028,27.5496030,372.9639959
168,168,54.2759901,148.8903578,45.4150378,248.5813857
168,152,54.2759901,542.3053421,23.8215355,620.4028677
168,151,54.2759901,436.4595617,43.5199927,534.2555445
168,150,54.2759901,145.1678755,19.4034483,218.8473139
168,149,54.2759901,417.3561664,13.7327478,485.3649044
168,148,54.2759901,475.3665578,12.6825019,542.3250498
168,147,54.2759901,307.4113815,24.6081545,386.2955261
168,146,54.2759901,622.0541426,42.7591230,719.0892557
168,145,54.2759901,239.8542685,31.1294968,325.2597554
168,120,54.2759901,421.4556156,18.8062422,494.5378478
168,119,54.2759901,311.6132224,80.7553926,446.6446052
168,117,54.2759901,332.6206455,28.3024783,415.1991140
168,116,54.2759901,457.0154198,24.9175509,536.2089608
168,115,54.2759901,618.5911832,23.2313424,696.0985157
168,114,54.2759901,374.4051759,86.0505271,514.7316931
168,10,54.2759901,663.0441891,50.5392008,767.8593800
168,216,54.2759901,600.4606086,12.9160206,667.6526193
168,211,54.2759901,283.7617154,20.4342349,358.4719404
168,210,54.2759901,149.3064299,13.3798586,216.9622786
168,208,54.2759901,4.7778216,3.2849605,62.3387723
168,177,54.2759901,792.8941811,1.8429503,849.0131216
168,176,54.2759901,754.0427564,32.5873963,840.9061428
136,175,2.1686540,621.3466068,11.6962451,635.2115059
136,170,2.1686540,549.8902451,14.3743230,566.4332221
136,168,2.1686540,716.5363843,54.2759901,772.9810284
136,136,,,,
136,135,2.1686540,28.1612264,43.0846437,73.4145242
136,134,2.1686540,696.6244012,10.4682861,709.2613412
136,132,2.1686540,817.7218133,18.6842549,838.5747222
136,131,2.1686540,856.5568489,39.9772148,898.7027176
136,130,2.1686540,501.4626024,3.9642571,507.5955135
136,128,2.1686540,610.9246081,42.0041098,655.0973718
136,95,2.1686540,70.9667852,16.9233316,90.0587708
136,94,2.1686540,883.4389544,44.0247222,929.6323307
136,93,2.1686540,848.4095655,3.7958535,854.3740729
136,90,2.1686540,492.4236732,15.4679509,510.0602781
136,89,2.1686540,544.8356017,3.3902011,550.3944569
