origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
508,557,46.2501760,606.3889426,37.6919053,690.3310240
508,556,46.2501760,588.4165785,11.2899351,645.9566897
508,555,46.2501760,465.8999814,14.8171932,526.9673506
508,554,46.2501760,426.8730276,14.6649412,487.7881448
508,553,46.2501760,376.0036269,46.0288432,468.2826461
508,552,46.2501760,524.8006964,34.4047053,605.4555777
508,551,46.2501760,471.4367743,30.1390017,547.8259520
508,550,46.2501760,167.4449704,21.9717613,235.6669077
508,549,46.2501760,119.9867620,1.4181753,167.6551133
508,548,46.2501760,55.5824871,3.5074451,105.3401082
508,519,46.2501760,851.3237351,7.6303289,905.2042401
508,518,46.2501760,716.1309627,33.2681306,795.6492693
508,517,46.2501760,688.7281208,1.0405634,736.0188603
508,516,46.2501760,645.2253791,11.4379216,702.9134767
508,515,46.2501760,430.1169052,54.2957777,530.6628589
508,179,46.2501760,560.1101044,23.4941376,629.8544180
508,178,46.2501760,525.9910771,30.7412135,602.9824667
508,177,46.2501760,439.2709046,31.8424359,517.3635165
508,176,46.2501760,414.9205707,20.9601132,482.1308599
508,175,46.2501760,437.9630794,22.0237653,506.2370207
508,174,46.2501760,471.0378969,27.3225963,544.6106692
508,173,46.2501760,633.7594736,10.9264456,690.9360952
508,160,46.2501760,254.7891231,21.9525315,322.9918306
508,157,46.2501760,538.3320762,28.9629071,613.5451593
508,156,46.2501760,448.5415843,29.3761025,524.1678628
508,155,46.2501760,374.6142958,28.7079374,449.5724092
508,154,46.2501760,327.2071274,15.1245674,388.5818708
508,153,46.2501760,397.6816571,22.2562357,466.1880688
508,112,46.2501760,420.6577273,20.1582429,487.0661462
508,111,46.2501760,286.6406911,27.4509154,360.3417825
508,110,46.2501760,528.6751712,29.0467884,603.9721356
508,109,46.2501760,690.5800994,21.3582122,758.1884875
508,677,46.2501760,653.4212571,21.3310151,721.0024483
508,676,46.2501760,679.2444689,2.3127578,727.8074028
508,637,46.2501760,621.6908549,1.1683491,669.1093801
508,514,46.2501760,418.0841325,12.9517403,477.2860488
508,513,46.2501760,349.2274625,2.6106928,398.0883313
508,512,46.2501760,293.9366945,3.9191180,344.1059885
508,511,46.2501760,230.7107578,3.4498738,280.4108076
508,510,46.2501760,219.4437548,15.2175142,280.9114450
508,509,46.2501760,164.6326479,0.7682630,211.6510869
478,508,0.6107463,849.8764731,46.2501760,896.7373954
478,478,,,,
478,477,0.6107463,42.2150118,32.2823000,75.1080582
478,476,0.6107463,480.4004813,11.8207620,492.8319895
478,475,0.6107463,432.3898259,21.4844154,454.4849875
478,474,0.6107463,398.8302044,5.1146571,404.5556078
478,469,0.6107463,716.7949449,21.4400797,738.8457709
478,468,0.6107463,697.8545741,29.5813128,728.0466332
478,436,0.6107463,117.7679743,23.5327366,141.9114572
478,435,0.6107463,420.9601712,29.0847973,450.6557148
